Type,Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
ALL OCCUPATIONS,ALL OCCUPATIONS,109080,809,60746,895,48334,726
MANAGEMENT,Chief executives,1046,2041,763,2251,283,1836
MANAGEMENT,General and operations managers,823,1260,621,1347,202,1002
MANAGEMENT,Legislators,8,0,5,0,4,0
MANAGEMENT,Advertising and promotions managers,55,1050,29,0,26,0
MANAGEMENT,Marketing and sales managers,948,1462,570,1603,378,1258
MANAGEMENT,Public relations and fundraising managers,59,1557,24,0,35,0
MANAGEMENT,Administrative services managers,170,1191,96,1451,73,981
MANAGEMENT,Computer and information systems managers,636,1728,466,1817,169,1563
MANAGEMENT,Financial managers,1124,1408,551,1732,573,1130
MANAGEMENT,Compensation and benefits managers,23,0,7,0,16,0
MANAGEMENT,Human resources managers,254,1365,68,1495,186,1274
MANAGEMENT,Training and development managers,37,0,17,0,20,0
MANAGEMENT,Industrial production managers,267,1485,221,1528,45,0
MANAGEMENT,Purchasing managers,193,1348,109,1404,84,1226
MANAGEMENT,"Transportation, storage, and distribution managers",276,966,224,1006,52,749
MANAGEMENT,"Farmers, ranchers, and other agricultural managers",129,769,106,847,23,0
MANAGEMENT,Construction managers,471,1329,429,1357,42,0
MANAGEMENT,Education administrators,778,1423,282,1585,496,1252
MANAGEMENT,Architectural and engineering managers,110,1899,101,1892,10,0
MANAGEMENT,Food service managers,763,742,389,820,374,680
MANAGEMENT,Funeral service managers,13,0,10,0,2,0
MANAGEMENT,Gaming managers,19,0,13,0,6,0
MANAGEMENT,Lodging managers,123,985,54,1171,68,902
MANAGEMENT,Medical and health services managers,592,1210,154,1422,438,1156
MANAGEMENT,Natural sciences managers,24,0,11,0,13,0
MANAGEMENT,Postmasters and mail superintendents,20,0,10,0,10,0
MANAGEMENT,"Property, real estate, and community association managers",401,914,171,1137,230,823
MANAGEMENT,Social and community service managers,305,1022,105,1142,200,965
MANAGEMENT,Emergency management directors,9,0,6,0,3,0
MANAGEMENT,"Managers, all other",2803,1408,1717,1525,1085,1213
BUSINESS,"Agents and business managers of artists, performers, and athletes",27,0,13,0,14,0
BUSINESS,"Buyers and purchasing agents, farm products",11,0,9,0,2,0
BUSINESS,"Wholesale and retail buyers, except farm products",142,926,73,886,69,985
BUSINESS,"Purchasing agents, except wholesale, retail, and farm products",260,1009,136,1020,124,986
BUSINESS,"Claims adjusters, appraisers, examiners, and investigators",317,963,141,1134,176,824
BUSINESS,Compliance officers,235,1198,126,1375,109,1025
BUSINESS,Cost estimators,95,1232,83,1264,12,0
BUSINESS,Human resources workers,592,1002,151,1158,441,984
BUSINESS,"Compensation, benefits, and job analysis specialists",63,998,12,0,50,898
BUSINESS,Training and development specialists,107,990,42,0,65,1037
BUSINESS,Logisticians,111,1028,66,1075,44,0
BUSINESS,Management analysts,529,1431,291,1519,237,1348
BUSINESS,"Meeting, convention, and event planners",117,859,27,0,90,840
BUSINESS,Fundraisers,62,1136,14,0,48,0
BUSINESS,Market research analysts and marketing specialists,203,1284,85,1411,118,1239
BUSINESS,"Business operations specialists, all other",186,1090,74,1461,112,969
BUSINESS,Accountants and auditors,1464,1132,618,1345,846,988
BUSINESS,Appraisers and assessors of real estate,42,0,21,0,21,0
BUSINESS,Budget analysts,44,0,17,0,28,0
BUSINESS,Credit analysts,17,0,8,0,9,0
BUSINESS,Financial analysts,295,1426,168,1680,127,1171
BUSINESS,Personal financial advisors,407,1419,248,1738,159,1033
BUSINESS,Insurance underwriters,106,1149,44,0,63,956
BUSINESS,Financial examiners,17,0,9,0,8,0
BUSINESS,Credit counselors and loan officers,313,997,146,1186,166,906
BUSINESS,"Tax examiners and collectors, and revenue agents",59,1051,20,0,39,0
BUSINESS,Tax preparers,56,892,19,0,37,0
BUSINESS,"Financial specialists, all other",66,1162,25,0,40,0
COMPUTATIONAL,Computer and information research scientists,28,0,23,0,5,0
COMPUTATIONAL,Computer systems analysts,499,1389,325,1462,173,1256
COMPUTATIONAL,Information security analysts,67,1538,56,1562,11,0
COMPUTATIONAL,Computer programmers,450,1438,357,1501,93,1302
COMPUTATIONAL,"Software developers, applications and systems software",1287,1682,1054,1751,232,1415
COMPUTATIONAL,Web developers,151,1165,98,1233,53,1026
COMPUTATIONAL,Computer support specialists,396,1079,291,1135,105,908
COMPUTATIONAL,Database administrators,90,1536,58,1829,32,0
COMPUTATIONAL,Network and computer systems administrators,208,1242,179,1266,28,0
COMPUTATIONAL,Computer network architects,115,1552,100,1577,15,0
COMPUTATIONAL,"Computer occupations, all other",490,1227,374,1252,116,1145
COMPUTATIONAL,Actuaries,24,0,18,0,6,0
COMPUTATIONAL,Mathematicians,6,0,6,0,0,0
COMPUTATIONAL,Operations research analysts,122,1441,59,1574,63,1325
COMPUTATIONAL,Statisticians,76,1275,37,0,39,0
COMPUTATIONAL,Miscellaneous mathematical science occupations,1,0,1,0,0,0
ENGINEERING,"Architects, except naval",138,1441,106,1492,31,0
ENGINEERING,"Surveyors, cartographers, and photogrammetrists",29,0,23,0,6,0
ENGINEERING,Aerospace engineers,140,1662,122,1668,18,0
ENGINEERING,Agricultural engineers,5,0,5,0,0,0
ENGINEERING,Biomedical engineers,12,0,10,0,2,0
ENGINEERING,Chemical engineers,79,1532,69,1583,10,0
ENGINEERING,Civil engineers,316,1460,275,1474,41,0
ENGINEERING,Computer hardware engineers,72,1876,62,1871,10,0
ENGINEERING,Electrical and electronics engineers,283,1778,246,1819,37,0
ENGINEERING,Environmental engineers,35,0,26,0,9,0
ENGINEERING,"Industrial engineers, including health and safety",205,1447,168,1430,37,0
ENGINEERING,Marine engineers and naval architects,9,0,9,0,0,0
ENGINEERING,Materials engineers,36,0,33,0,4,0
ENGINEERING,Mechanical engineers,316,1534,294,1550,23,0
ENGINEERING,"Mining and geological engineers, including mining safety engineers",15,0,15,0,0,0
ENGINEERING,Nuclear engineers,5,0,3,0,2,0
ENGINEERING,Petroleum engineers,43,0,39,0,3,0
ENGINEERING,"Engineers, all other",393,1527,339,1537,54,1448
ENGINEERING,Drafters,114,977,91,977,23,0
ENGINEERING,"Engineering technicians, except drafters",352,963,284,984,68,827
ENGINEERING,Surveying and mapping technicians,58,1012,54,1031,4,0
SCIENCE,Agricultural and food scientists,22,Na,12,0,10,0
SCIENCE,Biological scientists,74,1233,46,0,28,0
SCIENCE,Conservation scientists and foresters,23,Na,16,0,7,0
SCIENCE,Medical scientists,151,1250,68,1362,84,1082
SCIENCE,"Life scientists, all other",1,Na,1,0,0,0
SCIENCE,Astronomers and physicists,14,Na,11,0,3,0
